run,arm,stage,head_init,optimizer,lr,weight_decay,batch_size,label_smoothing,unfreeze_blocks,augment_train,epochs,data_version,repeat_of,val_accuracy,test_accuracy,best_epoch,seconds,train_accuracy_at_best
baseline_reference_fixed_init,baseline,baseline_reference,pytorch_linear,adamw,0.001,0.0001,64,0.0,,,,f69624bde9e7,,0.9740259647369385,,16.0,0.888188362121582,0.995509922504425
baseline_reference_timm_init,baseline,baseline_reference,timm_default,adamw,0.001,0.0001,64,0.0,,,,f69624bde9e7,,0.9220778942108154,,38.0,1.534010648727417,0.9711353182792664
unfreeze2_auglive,B,tuning,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,2,True,15,f69624bde9e7,,1.0,,14.0,1758.1411037445068,
unfreeze2_aug,B,tuning,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,2,True,15,f69624bde9e7,,1.0,,12.0,1419.5712940692902,
unfreeze2,B,tuning,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,2,False,15,f69624bde9e7,,0.9967532467532467,,14.0,1212.548344373703,
A053,A,tuning,pytorch_linear,adam,0.0076267009903414,0.0066853382421273,32,0.0528721203464821,,,,f69624bde9e7,,0.9837662577629089,,13.0,3.070897340774536,1.0
A052,A,tuning,pytorch_linear,adam,0.0048963218712534,0.0055624856835592,32,0.0323602595359425,,,,f69624bde9e7,,0.9837662577629089,,13.0,2.7931740283966064,0.9993585348129272
A048,A,tuning,pytorch_linear,adam,0.0042389379994359,0.0046522091033918,32,0.0413487513547484,,,,f69624bde9e7,,0.9837662577629089,,13.0,2.8784496784210205,1.0
A046,A,tuning,pytorch_linear,adam,0.0066645410610183,0.0096988148361723,64,0.0587057840489139,,,,f69624bde9e7,,0.9837662577629089,,27.0,2.6356465816497803,0.9987171292304993
A032,A,tuning,pytorch_linear,adam,0.0175930654984908,0.0095632747687467,64,0.0535304972722895,,,,f69624bde9e7,,0.9837662577629089,,37.0,3.208885908126831,0.9961513876914978
A026,A,tuning,pytorch_linear,adam,0.0044313123407843,0.0095655132189409,64,0.0631373787620353,,,,f69624bde9e7,,0.9837662577629089,,27.0,2.32275128364563,0.9987171292304993
A024,A,tuning,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,,,,f69624bde9e7,,0.9837662577629089,,27.0,2.5744595527648926,0.9987171292304993
A021,A,tuning,pytorch_linear,adam,0.004465635004468,0.0062971030282468,64,0.0859649875195551,,,,f69624bde9e7,,0.9837662577629089,,27.0,3.1942737102508545,1.0
unfreeze1,B,tuning,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,1,False,15,f69624bde9e7,,0.9805194805194806,,11.0,1207.9320106506348,
A057,A,tuning,pytorch_linear,adam,0.0180230959904786,0.0045939480174972,64,0.0238266865705085,,,,f69624bde9e7,,0.9805194735527039,,25.0,2.7602379322052,0.9961513876914978
A051,A,tuning,pytorch_linear,adam,0.0037866341174091,0.0054496926616888,32,0.0414681166196708,,,,f69624bde9e7,,0.9805194735527039,,13.0,2.886957883834839,0.9993585348129272
A044,A,tuning,pytorch_linear,adam,0.0028794773937731,0.0088851165398647,64,0.0674492070275629,,,,f69624bde9e7,,0.9805194735527039,,30.0,2.713646650314331,1.0
A042,A,tuning,pytorch_linear,adam,0.0145591908515035,0.008181493983742,64,0.0519280280631879,,,,f69624bde9e7,,0.9805194735527039,,6.0,1.548123836517334,0.9987171292304993
A041,A,tuning,pytorch_linear,adam,0.0111218796400577,0.0073670893096935,64,0.062765790229858,,,,f69624bde9e7,,0.9805194735527039,,18.0,2.601987838745117,0.9993585348129272
A040,A,tuning,pytorch_linear,sgd,0.0010884229750306,0.0061634836603839,32,0.0614482140409234,,,,f69624bde9e7,,0.9805194735527039,,22.0,2.954422950744629,0.9884541630744934
A036,A,tuning,pytorch_linear,adam,0.004457687937082,0.0056582630955771,64,0.055744327929804,,,,f69624bde9e7,,0.9805194735527039,,49.0,3.599522352218628,1.0
A031,A,tuning,pytorch_linear,adam,0.0135832764307676,0.0086131092066404,64,0.0643833858178764,,,,f69624bde9e7,,0.9805194735527039,,13.0,2.0874075889587402,0.9974342584609985
A027,A,tuning,pytorch_linear,adam,0.0130775683954055,0.0097589847884194,64,0.0618405269706196,,,,f69624bde9e7,,0.9805194735527039,,6.0,2.0719094276428223,0.9980756640434265
A058,A,tuning,pytorch_linear,adam,0.0089965584602368,6.786091413174413e-05,64,0.0972759588232886,,,,f69624bde9e7,,0.9772727489471436,,6.0,2.0529043674468994,0.9993585348129272
A049,A,tuning,pytorch_linear,sgd,0.0017215764329819,0.0020748078649371,64,0.047814725709693,,,,f69624bde9e7,,0.9772727489471436,,22.0,2.1782305240631104,0.9871712923049927
A045,A,tuning,pytorch_linear,adam,0.0093099918298808,0.0037687087461246,64,0.0284317155447762,,,,f69624bde9e7,,0.9772727489471436,,5.0,1.9535465240478516,0.9993585348129272
A043,A,tuning,pytorch_linear,adam,0.0068088410116087,0.0021883483226574,64,0.0838761257165445,,,,f69624bde9e7,,0.9772727489471436,,6.0,2.1369082927703857,0.9993585348129272
A037,A,tuning,pytorch_linear,sgd,0.0119207330368548,0.0025949433531171,64,0.0440243980160097,,,,f69624bde9e7,,0.9772727489471436,,5.0,2.0649876594543457,0.9910199046134949
A035,A,tuning,pytorch_linear,adam,0.0019809304607696,0.0055654323808903,64,0.0394449764238966,,,,f69624bde9e7,,0.9772727489471436,,7.0,1.9078466892242432,0.995509922504425
A034,A,tuning,pytorch_linear,adam,0.0082513155758407,0.0010361870943733,64,0.0503091121534964,,,,f69624bde9e7,,0.9772727489471436,,6.0,1.8157415390014648,1.0
A030,A,tuning,pytorch_linear,adam,0.0051171076207112,0.0048010008364533,64,0.0739286661521042,,,,f69624bde9e7,,0.9772727489471436,,5.0,1.5298798084259033,0.9974342584609985
A029,A,tuning,pytorch_linear,adam,0.0021084270441678,0.0029128776066662,64,0.0569819493928926,,,,f69624bde9e7,,0.9772727489471436,,7.0,1.8585381507873535,0.9961513876914978
A025,A,tuning,pytorch_linear,adam,0.0054080730126674,0.0034067048181329,64,0.059942641736719,,,,f69624bde9e7,,0.9772727489471436,,5.0,2.0650744438171387,0.9974342584609985
A020,A,tuning,pytorch_linear,adam,0.0006687713181304,0.0002482481137183,128,0.0455113091025353,,,,f69624bde9e7,,0.9772727489471436,,36.0,3.4771368503570557,0.9961513876914978
A019,A,tuning,pytorch_linear,sgd,0.0013218178227781,4.402830420295809e-05,32,0.0022099966943125,,,,f69624bde9e7,,0.9772727489471436,,16.0,2.673290967941284,0.9839640855789185
A018,A,tuning,pytorch_linear,adamw,0.0036973979927334,0.0006334376352603,64,0.0741153191179948,,,,f69624bde9e7,,0.9772727489471436,,5.0,1.8218016624450684,0.9961513876914978
A009,A,tuning,pytorch_linear,sgd,0.0074112997810832,2.106648601704221e-05,128,0.0472214925161949,,,,f69624bde9e7,,0.9772727489471436,,11.0,1.6581652164459229,0.9858883619308472
A007,A,tuning,pytorch_linear,sgd,0.0011756010900231,1.329652145729951e-05,64,0.0198715681534172,,,,f69624bde9e7,,0.9772727489471436,,34.0,2.6247165203094482,0.9858883619308472
A006,A,tuning,pytorch_linear,adam,0.006218704727769,0.0048696409415209,64,0.0828737509151929,,,,f69624bde9e7,,0.9772727489471436,,6.0,1.5500974655151367,0.9987171292304993
A004,A,tuning,pytorch_linear,adamw,0.0008200518402245,2.458603276328008e-06,128,0.0258779981600016,,,,f69624bde9e7,,0.9772727489471436,,38.0,1.3417260646820068,0.9993585348129272
A003,A,tuning,pytorch_linear,adam,0.0034890188454913,0.0002342384984711,128,0.0808397348116461,,,,f69624bde9e7,,0.9772727489471436,,3.0,1.1317579746246338,0.981398344039917
aug_only,B,tuning,pytorch_linear,adam,0.0049819347309463,0.0094517590276775,64,0.0617193453257421,0,True,15,f69624bde9e7,,0.974025974025974,,10.0,1313.6380326747894,
A056,A,tuning,pytorch_linear,adam,0.004393455120314,0.0004272896318256,32,0.0435848838384964,,,,f69624bde9e7,,0.9740259647369385,,2.0,2.0210537910461426,0.9916613101959229
A055,A,tuning,pytorch_linear,adam,0.0016177625478962,0.0007820019540391,32,0.0810013943741914,,,,f69624bde9e7,,0.9740259647369385,,2.0,2.2610676288604736,0.9826812148094177
A054,A,tuning,pytorch_linear,adamw,0.0035901477642603,0.0035858263258829,32,0.0484958391582194,,,,f69624bde9e7,,0.9740259647369385,,2.0,2.1218838691711426,0.9903784394264221
A050,A,tuning,pytorch_linear,adam,0.0024753017444189,0.0036218015842489,64,0.0584568093138003,,,,f69624bde9e7,,0.9740259647369385,,5.0,1.7119505405426025,0.9948685169219971
A047,A,tuning,pytorch_linear,adamw,0.0063653327596704,0.0012442706258852,64,0.0712300414571023,,,,f69624bde9e7,,0.9740259647369385,,4.0,1.9994316101074219,0.9980756640434265
A022,A,tuning,pytorch_linear,adam,0.002661819878637,0.001503853335044,64,0.094453392218236,,,,f69624bde9e7,,0.9740259647369385,,2.0,1.5763063430786133,0.981398344039917
A016,A,tuning,pytorch_linear,adamw,0.0251054292274389,4.652629106902203e-05,128,0.0146838318467542,,,,f69624bde9e7,,0.9740259647369385,,4.0,1.3652424812316895,0.9903784394264221
A015,A,tuning,pytorch_linear,adam,0.0033895211320122,4.169883260856047e-06,32,0.0709199674689803,,,,f69624bde9e7,,0.9740259647369385,,2.0,2.1477606296539307,0.9897370338439941
A013,A,tuning,pytorch_linear,adamw,0.0005250488957261,0.000574859474306,128,0.0347924353736497,,,,f69624bde9e7,,0.9740259647369385,,23.0,2.1268160343170166,0.9871712923049927
A012,A,tuning,pytorch_linear,adamw,0.0003242310994927,1.1733459014467534e-06,128,0.0342515993737756,,,,f69624bde9e7,,0.9740259647369385,,38.0,2.5288455486297607,0.9903784394264221
A011,A,tuning,pytorch_linear,adam,0.0004177201508459,0.0001545508238572,128,0.0010100136681684,,,,f69624bde9e7,,0.9740259647369385,,41.0,2.545888900756836,0.9923027753829956
A005,A,tuning,pytorch_linear,adam,0.0097177753050596,1.7654048052495086e-05,32,0.0894827350427648,,,,f69624bde9e7,,0.9740259647369385,,1.0,2.0561883449554443,0.9839640855789185
A002,A,tuning,pytorch_linear,adamw,0.001976218934028,1.461896279370496e-05,128,0.0199673782158359,,,,f69624bde9e7,,0.9740259647369385,,11.0,1.1616973876953125,0.9935856461524963
A001,A,tuning,pytorch_linear,adamw,0.0133112160807368,1.2087541473056965e-06,128,0.0524756431632237,,,,f69624bde9e7,,0.9740259647369385,,6.0,1.0267040729522705,0.9980756640434265
A000,A,tuning,pytorch_linear,adamw,0.0013292918943162,0.0063512210106407,128,0.0601115011743208,,,,f69624bde9e7,,0.9740259647369385,,11.0,1.4446985721588135,0.9897370338439941
A038,A,tuning,pytorch_linear,adam,0.0198758154674797,0.0009513467695433,64,0.076385160764782,,,,f69624bde9e7,,0.9707792401313782,,4.0,1.5853469371795654,0.9987171292304993
A023,A,tuning,pytorch_linear,adam,0.0188686841398085,0.0016334710484733,64,0.0787697680003972,,,,f69624bde9e7,,0.9707792401313782,,4.0,2.018658399581909,0.9987171292304993
A017,A,tuning,pytorch_linear,adam,0.0001500696281978,4.266587910190728e-06,128,0.0372901507807759,,,,f69624bde9e7,,0.9707792401313782,,49.0,2.6930911540985107,0.9801154732704163
A039,A,tuning,pytorch_linear,adam,0.043107454023399,0.0042533348892389,64,0.0892210852445142,,,,f69624bde9e7,,0.9675324559211731,,13.0,2.2622387409210205,0.9698524475097656
A028,A,tuning,pytorch_linear,adam,0.028470564326995,0.0094387925902242,64,0.0662812666572736,,,,f69624bde9e7,,0.9675324559211731,,6.0,1.7431762218475342,0.9807568788528442
A059,A,tuning,pytorch_linear,adamw,0.0355224614026149,0.0096137949802942,64,0.054537630079605,,,,f69624bde9e7,,0.9642857313156128,,3.0,1.765866756439209,0.9878126978874207
A033,A,tuning,pytorch_linear,adam,0.0982674045217754,0.0028222059774847,64,0.0536237491408212,,,,f69624bde9e7,,0.9610389471054077,,14.0,2.48038387298584,0.963438093662262
A008,A,tuning,pytorch_linear,sgd,0.0001038882310402,0.0018274508859816,64,0.0863103425875593,,,,f69624bde9e7,,0.9610389471054077,,97.0,4.880041599273682,0.9692110419273376
A014,A,tuning,pytorch_linear,adam,0.0427011612584704,0.0001291562931691,128,0.0979171582178999,,,,f69624bde9e7,,0.948051929473877,,3.0,1.5883712768554688,0.9711353182792664
